time, x0, x1, x2, x3, x4, x5, x6, x7
0.000000000000000000e+00, 2.000000000000000000e+00, 5.000000000000000278e-02, 5.000000000000000278e-02, 5.000000000000000278e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
7.056945970372173450e-08, 1.999999859368484900e+00, 5.000014063151507482e-02, 4.999999983511446006e-02, 4.999999949261701299e-02, 5.074028461213313970e-10, -1.406188085699902963e-07, 2.000000140796420300e+00, 0.000000000000000000e+00
2.117083791111652167e-07, 1.999999578105478681e+00, 5.000042189452109931e-02, 4.999999950534337462e-02, 4.999999847786223972e-02, 1.522245575089134529e-09, -4.218564610353133533e-07, 2.000000422389285326e+00, 0.000000000000000000e+00
4.939862179260521547e-07, 1.999999015579587924e+00, 5.000098442041201602e-02, 4.999999884580120374e-02, 4.999999644842128416e-02, 3.552104893028182733e-09, -9.843319558511243528e-07, 2.000000985575136614e+00, 0.000000000000000000e+00
1.058541895555826137e-06, 1.999997890528267597e+00, 5.000210947173248932e-02, 4.999999752671686198e-02, 4.999999238956272241e-02, 7.612723422672368358e-09, -2.109283430744566631e-06, 2.000002111947301930e+00, 0.000000000000000000e+00
2.187653250815374100e-06, 1.999995640427530530e+00, 5.000435957246947283e-02, 4.999999488854817847e-02, 4.999998427211849172e-02, 1.573749774077413988e-08, -4.359188559625363810e-06, 2.000004364693537262e+00, 0.000000000000000000e+00
4.445875961334469181e-06, 1.999991140233664533e+00, 5.000885976633528268e-02, 4.999998961221081839e-02, 4.999996803788989835e-02, 3.200161178355562589e-08, -8.859007094387222716e-06, 2.000008870193625832e+00, 0.000000000000000000e+00
8.962321382372659341e-06, 1.999982139876415710e+00, 5.001786012358404310e-02, 4.999997905953609129e-02, 4.999993557145108319e-02, 6.458882334265377520e-08, -1.785867670124952053e-05, 2.000017881224322114e+00, 0.000000000000000000e+00
1.799521222444903966e-05, 1.999964139283853193e+00, 5.003586071614653241e-02, 4.999995795418663708e-02, 4.999987064421601568e-02, 1.300016199838186793e-07, -3.585814363858425696e-05, 2.000035903407796134e+00, 0.000000000000000000e+00
3.606099390860180031e-05, 1.999928138586507753e+00, 5.007186141349179165e-02, 4.999991574348772866e-02, 4.999974080587791386e-02, 2.617872370234570419e-07, -7.185758202138982354e-05, 2.000071948263118848e+00, 0.000000000000000000e+00
